person_id,supper_curfew_hours,no_caffeine_after_noon,blue_light_block_mins,supplement_compliance_pct
1,6.9,1,70,99
2,1.6,0,22,50
3,1.3,0,7,63
4,0.6,0,23,69
5,1.0,0,20,72
6,1.8,0,11,64
7,6.0,1,69,98
8,1.1,0,29,42
9,2.2,0,8,78
10,6.9,1,73,96
11,0.5,0,1,59
12,6.2,1,71,99
13,0.9,0,16,75
14,6.4,1,89,96
15,0.6,0,17,65
16,1.5,0,3,53
17,1.3,0,13,62
18,2.9,0,20,55
19,1.8,0,23,65
20,2.0,0,12,68
21,0.7,0,6,48
22,1.0,0,23,50
23,6.3,1,62,95
24,2.8,0,25,67
25,2.1,0,1,72
26,5.3,1,83,99
27,2.1,0,26,74
28,0.8,0,13,42
29,1.9,0,13,78
30,6.3,1,85,96
31,1.0,0,6,71
32,0.8,0,6,54
33,1.1,0,6,61
34,2.1,0,29,45
35,1.0,0,19,69
36,1.3,0,22,67
37,2.8,0,0,66
38,2.5,0,8,42
39,5.8,1,68,99
40,1.2,0,23,54
41,5.0,1,83,95
42,0.7,0,25,51
43,5.7,1,76,99
44,4.6,1,76,96
45,0.6,0,4,71
46,1.1,0,1,65
47,1.1,0,3,50
48,5.1,1,65,99
49,2.1,0,10,55
50,1.3,0,5,55
51,6.0,1,86,98
52,5.8,1,78,98
53,0.9,0,0,79
54,6.8,1,60,97
55,0.8,0,22,70
56,1.1,0,27,55
57,1.9,0,27,41
58,2.9,0,4,76
59,1.0,0,8,74
60,2.6,0,19,63
61,2.7,0,19,50
62,2.5,0,7,59
63,1.4,0,24,74
64,1.2,0,13,57
65,1.6,0,28,75
66,1.1,0,20,59
67,6.4,1,62,95
68,1.9,0,26,61
69,5.1,1,65,99
70,2.8,0,26,73
71,2.1,0,14,72
72,6.3,1,78,98
73,6.1,1,76,98
74,2.9,0,20,45
75,0.5,0,23,68
76,2.9,0,2,72
77,5.3,1,82,95
78,0.9,0,24,70
79,2.8,0,13,63
80,2.2,0,22,41
81,1.2,0,25,56
82,0.8,0,21,78
83,6.5,1,62,96
84,2.8,0,25,46
85,2.5,0,0,47
86,2.5,0,11,62
87,5.9,1,82,97
88,5.9,1,88,96
89,1.1,0,9,45
90,5.8,1,64,95
91,1.2,0,11,44
92,6.6,1,79,97
93,2.3,0,12,69
94,5.5,1,78,98
95,1.1,0,25,62
96,6.2,1,60,96
97,1.6,0,29,64
98,1.2,0,15,78
99,1.6,0,28,42
100,5.4,1,64,95
101,4.7,1,74,95
102,6.9,1,64,98
103,6.4,1,80,98
104,5.6,1,82,96
105,2.1,0,1,70
106,6.8,1,60,99
107,2.0,0,15,41
108,6.0,1,86,98
109,5.5,1,87,95
110,5.9,1,64,98
111,6.9,1,69,97
112,4.7,1,73,96
113,6.0,1,82,95
114,1.5,0,9,65
115,5.2,1,66,98
116,1.4,0,10,68
117,5.5,1,88,95
